n,combo,best_params,accuracy
5,"('Gender', 'Total', 'MCQ', 'Q1', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5986842105263158
5,"('Gender', 'Total', 'MCQ', 'Q1', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
5,"('Gender', 'Total', 'MCQ', 'Q1', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
5,"('Gender', 'Total', 'Q1', 'Q2', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
5,"('Gender', 'Total', 'Q2', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
5,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
5,"('Gender', 'MCQ', 'Q1', 'Q3', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
5,"('Gender', 'MCQ', 'Q1', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
5,"('Gender', 'MCQ', 'Q2', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
6,"('Gender', 'Total', 'MCQ', 'Q3', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
6,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
6,"('Gender', 'MCQ', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
6,"('Total', 'MCQ', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5986842105263158
7,"('Gender', 'Total', 'MCQ', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5986842105263158
7,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5986842105263158
3,"('Total', 'Q1', 'Q3')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
3,"('MCQ', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5921052631578947
3,"('Q1', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
4,"('Gender', 'Total', 'Q3', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5921052631578947
4,"('Gender', 'MCQ', 'Q1', 'Q2')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
4,"('Total', 'MCQ', 'Q1', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
4,"('Total', 'Q1', 'Q3', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Gender', 'Total', 'MCQ', 'Q2', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Gender', 'Total', 'MCQ', 'Q3', 'Q4')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Gender', 'Total', 'MCQ', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5921052631578947
5,"('Gender', 'Total', 'Q2', 'Q3', 'Q4')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q4')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Gender', 'MCQ', 'Q1', 'Q3', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Gender', 'MCQ', 'Q2', 'Q3', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Gender', 'Q1', 'Q2', 'Q3', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Gender', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5921052631578947
5,"('Total', 'MCQ', 'Q1', 'Q2', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('Total', 'MCQ', 'Q3', 'Q4', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
5,"('MCQ', 'Q1', 'Q2', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5921052631578947
6,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
6,"('Gender', 'Total', 'MCQ', 'Q2', 'Q3', 'Q4')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
6,"('Gender', 'Total', 'MCQ', 'Q2', 'Q3', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
6,"('Gender', 'Total', 'MCQ', 'Q2', 'Q4', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5921052631578947
6,"('Gender', 'Total', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
6,"('Gender', 'Total', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
6,"('Gender', 'Total', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
7,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
7,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
7,"('Gender', 'Total', 'MCQ', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
7,"('Gender', 'Total', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
7,"('Total', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5921052631578947
8,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5921052631578947
3,"('Gender', 'MCQ', 'Q2')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5855263157894737
3,"('Gender', 'Q2', 'Q3')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
3,"('Total', 'MCQ', 'Q2')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5855263157894737
3,"('Total', 'MCQ', 'Q4')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
3,"('Total', 'Q2', 'Q3')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
3,"('Total', 'Q3', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5855263157894737
3,"('MCQ', 'Q2', 'Q5')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
4,"('Gender', 'Total', 'MCQ', 'Q2')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5855263157894737
4,"('Gender', 'Total', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5855263157894737
4,"('Total', 'MCQ', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
4,"('Total', 'Q1', 'Q2', 'Q3')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
5,"('Gender', 'Total', 'Q1', 'Q2', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5855263157894737
5,"('Total', 'MCQ', 'Q1', 'Q2', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5855263157894737
5,"('MCQ', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5855263157894737
6,"('Gender', 'Total', 'MCQ', 'Q1', 'Q3', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
6,"('Gender', 'Total', 'Q1', 'Q2', 'Q3', 'Q4')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
6,"('Gender', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
7,"('Gender', 'Total', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q4')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5855263157894737
3,"('Total', 'Q1', 'Q4')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5789473684210527
3,"('MCQ', 'Q3', 'Q4')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5789473684210527
4,"('Gender', 'Q1', 'Q2', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5789473684210527
4,"('Gender', 'Q2', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5789473684210527
4,"('Total', 'MCQ', 'Q1', 'Q4')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5789473684210527
4,"('Total', 'MCQ', 'Q2', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5789473684210527
4,"('Total', 'Q1', 'Q4', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5789473684210527
4,"('MCQ', 'Q2', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5789473684210527
4,"('MCQ', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5789473684210527
5,"('Gender', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5789473684210527
6,"('Total', 'MCQ', 'Q1', 'Q2', 'Q3', 'Q4')","{'C': 0.01, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5789473684210527
6,"('Total', 'MCQ', 'Q1', 'Q2', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5789473684210527
6,"('Total', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5789473684210527
6,"('MCQ', 'Q1', 'Q2', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5789473684210527
3,"('Gender', 'MCQ', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'sigmoid'}",0.5723684210526315
3,"('Gender', 'Q1', 'Q4')","{'C': 100, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
3,"('Total', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
3,"('Total', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'poly'}",0.5723684210526315
4,"('Gender', 'Q1', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
4,"('Gender', 'Q2', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
4,"('Total', 'Q3', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
4,"('Q1', 'Q3', 'Q4', 'Q5')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5723684210526315
5,"('Gender', 'Total', 'MCQ', 'Q3', 'Q5')","{'C': 10, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
5,"('Gender', 'Total', 'Q1', 'Q3', 'Q4')","{'C': 0.1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'rbf'}",0.5723684210526315
5,"('Gender', 'Q1', 'Q3', 'Q4', 'Q5')","{'C': 1, 'decision_function_shape': 'ovo', 'gamma': 'scale', 'kernel': 'linear'}",0.5723684210526315
